accession	uniprot_accession	source_database	source_release	organism	lifestyle	length	cysteine_count	cysteine_fraction	publication_year	functional_evidence	experiment	q4_tool_independent	sequence_sha256
E6ZS91		PHI-base	v4.19	Sporisorium reilianum	unknown	182	2	0.010989	2019	hypersensitive response assay	Gene deletion: full	yes	f5d723d39e4b12c39d246fad7283b4bcaa2e1ee91bee463e9487218a16fd5281
E6ZS92		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Sporisorium reilianum	unknown	180	2	0.011111	2019	hypersensitive response assay	Gene deletion: full; PEACE source memberships: EffectorP_2.0_validation;EffectorP_3.0_positives;Predector_positive_sequences;fungtion_positive_sequences	yes	5fbf2ef1c52278fd03d603a52e98ef752ba74a612bbce65b2dad0c57eb995f72
E6ZS93		PHI-base	v4.19	Sporisorium reilianum	unknown	183	1	0.005464	2019	hypersensitive response assay	Gene deletion: full	yes	e0ef717c07a746bbce86b6e2dad20056d13f607c1ef4575f86ed1d69cca5e20b
E6ZU78		PHI-base	v4.19	Sporisorium reilianum	unknown	117	0	0.000000	2018	hypersensitive response assay	Gene deletion: full	yes	c544e667d545b20d1ab5602d9623700190240f82af0584277cbee9e31c89f1e1
E6ZWS5		PHI-base	v4.19	Sporisorium reilianum	unknown	340	7	0.020588	2019	hypersensitive response assay	Gene deletion: full	yes	a84395cb98b7ce5b1d3203159fd3cd64309a3f2f669bbe4414803b739b0d6ae8
E6ZXT3		PHI-base	v4.19	Sporisorium reilianum	unknown	248	5	0.020161	2018	hypersensitive response assay	Gene deletion: full	yes	1ec7f7e9f51d5e87346bd6eb1e181da4429d6145219d20143999fc2a3395373e
E6ZY85		PHI-base	v4.19	Sporisorium reilianum	unknown	479	6	0.012526	2019	hypersensitive response assay	Gene deletion: full	yes	1b5e66285b71f487a035c5b1a939674d885c0be00d9e7efee0501e9adf1e036a
E6ZYE0		PHI-base	v4.19	Sporisorium reilianum	unknown	300	4	0.013333	2018	hypersensitive response assay	Gene deletion: full	yes	66bb29f1ca45e4664b7ea80ef96abe9d22ab72748f8dfeed316559e85594c85d
E6ZYY9		PHI-base	v4.19	Sporisorium reilianum	unknown	264	6	0.022727	2019	hypersensitive response assay	Gene deletion: full	yes	50eeaac9f0c720c7284fd7c463aab64301a327687bdaf3c7ddfd7f7efa8808c8
E6ZZM5		PHI-base	v4.19	Sporisorium reilianum	unknown	251	1	0.003984	2019	hypersensitive response assay	Gene deletion: full	yes	4f55fee804cfcd5e3b50ed667145a68cb8bb8a5166c446ae11a4683c07d9588d
E6ZZM6		PHI-base	v4.19	Sporisorium reilianum	unknown	309	3	0.009709	2019	hypersensitive response assay	Gene deletion: full	yes	a1f90bf128e3642c12a9ba21150b5c449eb55bd4cac932f50fda9907a213a583
E6ZZW9		PHI-base	v4.19	Sporisorium reilianum	unknown	264	9	0.034091	2019	hypersensitive response assay	Gene deletion: full	yes	d7ef4a163a4f129eaebff68e316f5f9c156894a93d018924562eb40f23f9eb95
E6ZZX0		PHI-base	v4.19	Sporisorium reilianum	unknown	287	4	0.013937	2019	hypersensitive response assay	Gene deletion: full	yes	c4919b7d3536bcdbf111b0fdc5835563de5601791f4da6eb4e590949054e3dc6
E6ZZX1		PHI-base	v4.19	Sporisorium reilianum	unknown	258	2	0.007752	2019	hypersensitive response assay	Gene deletion: full	yes	d488fba54c40834042bf0cc0f9102e76d30544ca6e5a6e6a529cfbcbc0cedb4b
E6ZZX2		PHI-base	v4.19	Sporisorium reilianum	unknown	274	1	0.003650	2019	hypersensitive response assay	Gene deletion: full	yes	1145cbd658b55d6c6d04654e4c7c3dc405897f27d5a82ae87a9cb44e796b7583
E6ZZX3		PHI-base	v4.19	Sporisorium reilianum	unknown	294	4	0.013605	2019	hypersensitive response assay	Gene deletion: full	yes	dd844776e59821a482da70570dac27924b0342d0276ed8c12aee57d28c0f2030
E7A094		PHI-base	v4.19	Sporisorium reilianum	unknown	416	1	0.002404	2019	hypersensitive response assay	Gene deletion: full	yes	dd601a32bd862e83bc5ba45967e335dd6d4af758e96f3829db80c01656011ebf
E7A095		PHI-base	v4.19	Sporisorium reilianum	unknown	182	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	862529ccf413ed6dd8702bce5b61453e94562234bf0f805296fd5ad4528ee0bc
E7A096		PHI-base	v4.19	Sporisorium reilianum	unknown	171	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	47e9f85ee2ee571b076968b3b3d227b51f6f61e3ab8110476149d14efe6face9
E7A097		PHI-base	v4.19	Sporisorium reilianum	unknown	188	1	0.005319	2019	hypersensitive response assay	Gene deletion: full	yes	9a28bfb3ae39f14e5d6f3c1310819c599aff5fbea1235e26a12f91e8c5437ade
E7A098		PHI-base	v4.19	Sporisorium reilianum	unknown	197	1	0.005076	2019	hypersensitive response assay	Gene deletion: full	yes	1a91033facd9af45a82b58a5be6f003534c1215da55ea0ad90395735f52b2266
E7A099		PHI-base	v4.19	Sporisorium reilianum	unknown	179	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	e0b78f60130899a17dfb74db820ee72b991937762be27d36d6fa1e4ab074976c
E7A0A0		PHI-base	v4.19	Sporisorium reilianum	unknown	156	2	0.012821	2019	hypersensitive response assay	Gene deletion: full	yes	8c4eb9a7a386da347302fc5d388e1324821ef46e54352f33acacac51ca5b36c8
E7A0A1		PHI-base	v4.19	Sporisorium reilianum	unknown	188	1	0.005319	2019	hypersensitive response assay	Gene deletion: full	yes	7de6f87f53d5dbffc584a3af024ebc634d4427f82fec8fca98de47e78b9e9a53
E7A0A2		PHI-base	v4.19	Sporisorium reilianum	unknown	187	2	0.010695	2019	hypersensitive response assay	Gene deletion: full	yes	15f9d22c9f0eb4b8e0263fe2bd78a48e7aff9ab3c2bd05ecc5061988e177cedf
E7A0A3		PHI-base	v4.19	Sporisorium reilianum	unknown	172	2	0.011628	2019	hypersensitive response assay	Gene deletion: full	yes	3e7d2cdc0ca920bd0759f2d5a920a8042a44a42fda71eafa95a94571db5d289a
E7A0A4		PHI-base	v4.19	Sporisorium reilianum	unknown	178	1	0.005618	2019	hypersensitive response assay	Gene deletion: full	yes	8c34127cc64ddac56928761425a144b9233f2bb4b6338aadafb9c557c9d433a8
E7A0A5		PHI-base	v4.19	Sporisorium reilianum	unknown	289	2	0.006920	2019	hypersensitive response assay	Gene deletion: full	yes	5866039751bee300e473c5de8fb7c6620eb1d535ee9686e9e1f7b8827375af5b
E7A0A6		PHI-base	v4.19	Sporisorium reilianum	unknown	173	2	0.011561	2019	hypersensitive response assay	Gene deletion: full	yes	2fc4f0bdae832d6a593dc6634fa71ef24e545258a334665d3caa739f61c3ec32
E7A0A7		PHI-base	v4.19	Sporisorium reilianum	unknown	189	1	0.005291	2019	hypersensitive response assay	Gene deletion: full	yes	80f4cc76911b7439e35a39a63c28576cd67995672a29fbb3aee1d2a28928a2eb
E7A0A8		PHI-base	v4.19	Sporisorium reilianum	unknown	170	2	0.011765	2019	hypersensitive response assay	Gene deletion: full	yes	f0777717a690b75ed68789c4476951b0d7f1b1654d145cb7cce5e73df6763b4f
E7A0K4		PHI-base	v4.19	Sporisorium reilianum	unknown	292	6	0.020548	2019	hypersensitive response assay	Gene deletion: full	yes	a537e16ce688018fe4dedde17e6ecd7f4faf10c95c6fa3db33610b250d92af74
E7A0K5		PHI-base	v4.19	Sporisorium reilianum	unknown	773	18	0.023286	2019	hypersensitive response assay	Gene deletion: full	yes	dd09646240006bbed632029341428366c2fa268e13349bf0c63c071162010343
E7A0K6		PHI-base	v4.19	Sporisorium reilianum	unknown	76	0	0.000000	2019	hypersensitive response assay	Gene deletion: full	yes	bc9fb4e7d13bb3085f94512906a9d68a2a5acafcdddd81b3cbb1487864710d24
E7A183		PHI-base	v4.19	Sporisorium reilianum	unknown	152	3	0.019737	2019	hypersensitive response assay	Gene deletion: full	yes	71fc22e611f3ec901697a79c1723d2e23e4ff641f7beabb7c5074eebb9e18acb
E7A184		PHI-base	v4.19	Sporisorium reilianum	unknown	116	1	0.008621	2019	hypersensitive response assay	Gene deletion: full	yes	b1c443e8b8003465d48d1e16b3743624e9b27e517ec84bfe4279a1ca6440c0a1
E7A2P8		PHI-base	v4.19	Sporisorium reilianum	unknown	347	10	0.028818	2018	hypersensitive response assay	Gene deletion: full	yes	299fd17b06a67d67c0c9f1e3c2125385a5d0840ff6183b502dbd21963827e72e
E7A3A9		PHI-base	v4.19	Sporisorium reilianum	unknown	225	10	0.044444	2018	hypersensitive response assay	Gene deletion: full	yes	ab07358a9cefa6cabe4e21a6d4faa169d44b77c3148731d7701b255810b7558d
F2YQ16		PHI-base	v4.19	Phytophthora sojae	hemibiotroph	111	0	0.000000	2022	hypersensitive response assay	Gene deletion: full; altered gene expression / gene regulation: overexpression; other evidence: fungal crossing	yes	2bf4f9f4d4e5aa1d3ef9a117505befc22f31e10ea2587169985b9dcc77ad9d90
F4RBY2	F4RBY2	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Melampsora larici-populina (strain 98AG31 / pathotype 3-4-7) (Poplar leaf rust fungus); Melampsora laricis-populina	biotroph	96	6	0.062500	2018	hypersensitive response assay	Other evidence: transgenic plants; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	7cc2a7699650a9adb05c58b576ff8f8024141c92a47c9588428a736c6b269e13
F6MEZ1		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	129	0	0.000000	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	f4092cdcba4215b63f118a32479a44647b61d2b3043df4e84337512a28036fbb
F6MEZ2		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	134	0	0.000000	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: pooe_positive_sequences	yes	1f311c4fb894afdfea3f6cba170dd0520fb05999329ed0457a6bf90df17530ba
F6MEZ4		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	129	1	0.007752	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	e01f19e1f2661b6020cd2c4d716243694341c76744a66dce06c2829766c31658
F6MEZ6		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	150	2	0.013333	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	92f6f8d0e027cac3ccd92b8e83cb213e777bced3f0da41b6d9134aa576d1ef02
F6MEZ8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	286	1	0.003497	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	a7de0a7468c8c207f699f805da73828b9726b53fa1dbf2507c7b2b7a72f445df
F6MF00		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	198	1	0.005051	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	f32937f75a1eb69c0dbc6b41b835bedd547c14e1c1ca5ba92896a3f36fe284c5
F6MF01		PHI-base	v4.19	Hyaloperonospora arabidopsidis	unknown	135	1	0.007407	2014	hypersensitive response assay	Functional test in host: transient expression	yes	c82019b891121adafd2a9828844911466adc8710b57e186f884cde25d96907d7
F6MF03		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	299	1	0.003344	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	8c0eabafb69a246bae553281fbb84abb7f9553e036e48ac7d549927a85c1048e
F6MF04		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	241	2	0.008299	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	2efff36b711a2b0bc7d30764ab1cad629cd4bf72885e28fd22138b200b5237a5
F6MF05		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	115	1	0.008696	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	41c96dd6e4298ce93ef48a123d1cd2f2283225392731a5bea8aa2e706bad3074
F6MF06		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	137	0	0.000000	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter;pooe_positive_sequences	yes	702438eb2379b032a90000b77e92b3562b95273d6542786bf0af82b20dd77fd4
F6MF07		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	304	1	0.003289	2014	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: pooe_positive_sequences	yes	3ea7ce699476862b6655354d9f9b19b008e2d4a6e199e72226fad2f3f9ea2e73
F6MF08		PHI-base	v4.19	Hyaloperonospora arabidopsidis	unknown	132	1	0.007576	2014	hypersensitive response assay	Functional test in host: transient expression	yes	d9c2f21c19b48d5ee5e3e28a5e165a5d094bfb0f31c5677c0e5fc9f1f84c39c4
F7J181		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Magnaporthe oryzae	hemibiotroph	224	8	0.035714	2011	hypersensitive response assay	PEACE source memberships: Predector_positive_sequences; Predector literature record	yes	01144fba846c5022d0c8c2a8fe95fce8b92cb4665946af49bce2c1eb9cb5dec1
F8UNP0		PEACE curated positives; PHI-base; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Phytophthora sojae	hemibiotroph	227	1	0.004405	2011	hypersensitive response assay	Other evidence: yeast two-hybrid; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter; Predector literature record	yes	ac6551a3e8775ede89aa3f7eec353190256fe0444652d43ea5309b1fce2a879f
F9GAR0		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Fusarium oxysporum Fo5176	hemibiotroph	170	2	0.011765	2020	validated host-target interaction	Predector literature record	unknown	95b1820b9d2e942925df04491832c059cd53183389dc76f3fd5d8477d6e3e3ac
F9GCQ6		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Fusarium oxysporum Fo5176	hemibiotroph	263	8	0.030418	2020	validated host-target interaction	Predector literature record	unknown	ead9ffce7276beb6140a7c034497698bdf93f4ceb39bf746f9b7fbd88d7f7164
F9GE44		PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Fusarium oxysporum Fo5176	hemibiotroph	199	6	0.030151	2020	validated host-target interaction	PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences; Predector literature record	no	b9527cc627540aaeb7df18b7a7644d4cf1fa72d7b68e9c3d3eeeac910d560cd6
F9XAU1		PHI-base	v4.19	Zymoseptoria tritici	hemibiotroph	74	8	0.108108	2022	hypersensitive response assay	Gene deletion: full	yes	1632f1b0ae957994606130f70df231feb59a80c7963e9d9e9589b12f19966f9a
F9XBP2		PHI-base	v4.19	Zymoseptoria tritici	hemibiotroph	79	10	0.126582	2022	hypersensitive response assay	Gene deletion: full	yes	3503e32a6f4a9235ec99e4be2feac9b8f0eee28a87254d91dedede208403256a
F9XHX3	F9XHX3	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Zymoseptoria tritici; Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici)	hemibiotroph	97	4	0.041237	2011	hypersensitive response assay	Gene mutation; PEACE source memberships: EffectorP_3.0_positives;WideEffHunter;fungtion_positive_sequences	yes	a844dd6dc92ca47f2970857b788fd2999d174684ed462f3b2d1f0e228e698f15
F9XKL2		PHI-base	v4.19	Zymoseptoria tritici	hemibiotroph	98	8	0.081633	2022	hypersensitive response assay	Gene deletion: full	yes	c8e251c001bf3b21b1a3528da7c70730715f86a031ff2bd2a7c6f190f40cefba
F9XMT4	F9XMT4	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Zymoseptoria tritici; Zymoseptoria tritici (strain CBS 115943 / IPO323) (Speckled leaf blotch fungus) (Septoria tritici)	hemibiotroph	232	9	0.038793	2011	hypersensitive response assay	Gene mutation; PEACE source memberships: EffectorP_2.0_validation;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	971d61bb6f675634bd0dd4189132f33f4f02b0ca054b01c02c34bc9b922e0699
G0X7F2		PHI-base	v4.19	Ustilago maydis	biotroph	124	0	0.000000	2014	knockout virulence phenotype	Gene mutation	unknown	19a6e588aed26d45fafdb33f3e8d4965b51f863c789e90ee4c2c431ca2f65843
G0X7K3		PHI-base	v4.19	Ustilago maydis	biotroph	121	1	0.008264	2014	knockout virulence phenotype	Gene mutation	unknown	245081f3d8db6cc6b4e225cd572a9f3f4d4e94a38bc1b19b9e3edc719cf13258
G0X7L8		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	175	0	0.000000	2006	knockout virulence phenotype	Gene deletion; PEACE source memberships: fungtion_positive_sequences	unknown	c806e0dbdbc27ea26df364c0e3002e23b24ce2f3d2fa073cd8757f34361ec6a5
G0X7M4		PHI-base	v4.19	Ustilago maydis	biotroph	135	0	0.000000	2014	knockout virulence phenotype	Gene mutation	unknown	f2b73af2b0fc43d0f74fea506a4e01e69f64c51cd0593df393d5f12402ee24c2
G0X7N7		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	193	2	0.010363	2006	knockout virulence phenotype	Gene deletion; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	no	43e8f5ce9d9af7c157d9b7cd30b757ca177d1d41e3a0f5f9c3ec5297ca5b0e8a
G0X7P5		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	214	2	0.009346	2006	knockout virulence phenotype	Gene deletion; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	no	db88b9f1e8b4d49d784c24bf244e33b7fe172bbe101640a79c70eead54f00dbb
G0X7S0		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	121	3	0.024793	2006	knockout virulence phenotype	Gene deletion; PEACE source memberships: fungtion_positive_sequences	unknown	8bb5226cff58d80949294be6f6331a78947f0dfcd714cddf1e262d88cae87599
G0X7S7		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	121	1	0.008264	2006	knockout virulence phenotype	Gene deletion; PEACE source memberships: fungtion_positive_sequences	unknown	ce07f88a2203cf0b3b1a3bb9e0419b3c0a0dbd6f191cf5ddc79f71130260fc8f
G0X7U0		PHI-base	v4.19	Ustilago maydis	biotroph	117	1	0.008547	2014	knockout virulence phenotype	Gene mutation	unknown	7401e91eb2c7826dfe44a521f476058ce961cea45588c6ec36670fff523b905f
G0X7V8		PHI-base	v4.19	Ustilago maydis	biotroph	135	1	0.007407	2006	knockout virulence phenotype	Gene deletion	unknown	bc62746798537c85064e714d420e39ef19069d938955c686ef445fe32d12d88b
G0X7X3		PHI-base	v4.19	Ustilago maydis	biotroph	117	1	0.008547	2006	knockout virulence phenotype	Gene deletion	unknown	6c61989ffb8732ff6325578cfde906611ddc733485f0d33d1c62e7733b72b7dd
G0X7Y1		PHI-base	v4.19	Ustilago maydis	biotroph	136	2	0.014706	2014	knockout virulence phenotype	Gene mutation	unknown	35439dd9d40108b505cc6862fe7995e75a3a248db8d54d6f20973ad5d0281af1
G0X7Z5		PHI-base	v4.19	Ustilago maydis	biotroph	133	0	0.000000	2006	knockout virulence phenotype	Gene deletion	unknown	e65192f65ade4b39ec70fff4cd616aae23d936a6ea60e047b0964b6756bbdaaa
G0X801		PHI-base	v4.19	Ustilago maydis	biotroph	164	0	0.000000	2006	knockout virulence phenotype	Gene deletion	unknown	2ee9ec7a52a02d091f754fca737a0159b77682aa4617c04a0cc208c6135a5704
G0X809		PHI-base	v4.19	Ustilago maydis	biotroph	196	2	0.010204	2014	knockout virulence phenotype	Gene mutation	unknown	199105813c8b26901435f1d46ccc86dd9a215986fd179649a07e2112064a6c00
G0X828		PHI-base	v4.19	Ustilago maydis	biotroph	128	0	0.000000	2006	knockout virulence phenotype	Gene deletion	unknown	2853197d3418b8b3bfcee38e2c19715e2f6eeaba8b1372d66f690c4b5d0253c5
G0X840		PHI-base	v4.19	Ustilago maydis	biotroph	170	1	0.005882	2006	knockout virulence phenotype	Gene deletion	yes	1ae17b4b02de99d96b4059b6579c6abc0be84e0f282ffb2e9e6699de975452db
G0X849		PHI-base	v4.19	Ustilago maydis	biotroph	144	0	0.000000	2014	knockout virulence phenotype	Gene mutation	unknown	0b451f7341c6688b276bc76b96141674a13d7e34e42674b423c6a6e2cc7d81d9
G0X854		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Ustilago maydis	biotroph	157	1	0.006369	2006	knockout virulence phenotype	Gene deletion; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	no	0b57033f4e2e3df12ad375bde77f0dd40f0c7a62c6830b3358bddd310ec5a8ca
G0X860		PHI-base	v4.19	Ustilago maydis	biotroph	140	0	0.000000	2014	knockout virulence phenotype	Gene mutation	unknown	8d8b84f65c055c6c8bd1530fa7b2fbb559856931f7bf76b4e45e7c8612bc3845
G0X877		PHI-base	v4.19	Ustilago maydis	biotroph	139	0	0.000000	2006	knockout virulence phenotype	Gene deletion	unknown	b245274c15033c92ffb25da6a8e0b4b2fa357f1aad238b89f3ccb866e3e277bb
G0Y276	G2WWV6	PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Verticillium dahliae; Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	hemibiotroph	155	4	0.025806	2014	validated host-target interaction	PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences; Predector literature record	no	609441ec235ddd2f8887186b11fca092942d45711cb3a41c64ef189d6c8e6ef8
G1FQZ9		PHI-base	v4.19	Phytophthora sojae	hemibiotroph	295	2	0.006780	2022	hypersensitive response assay	Gene deletion: full; altered gene expression / gene regulation: overexpression; other evidence: fungal crossing	yes	e07e61dc0538f5ab0d03d3bf55e369a480871f9e05fc53f53ffffb4aa103ef43
G1K3N3		Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46	Phytophthora capsici	hemibiotroph	108	0	0.000000	unknown	hypersensitive response assay	Predector literature record	yes	f91b9066bbba6e147d543d00c0cf9172a23fdd0a29b2ab977a6d6d603cc11849
G2WSX9	G2WSX9	PHI-base	v4.19	Verticillium dahliae; Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	hemibiotroph	375	16	0.042667	2016	hypersensitive response assay	Gene mutation	yes	193f4b3e3337e2458136cba9a284d60519c7caab50808550750b631f132909fe
G2X444	G2X444	PHI-base	v4.19	Verticillium dahliae; Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	hemibiotroph	690	34	0.049275	2016	hypersensitive response assay	Gene mutation	yes	93f4ec62cefafffff21f31eb51f89ef2cf20f6def4a9763127ff389e994d10ae
G2X4G0	G2X4G0	PHI-base	v4.19	Verticillium dahliae; Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	hemibiotroph	223	0	0.000000	2021	hypersensitive response assay	Gene deletion: full; gene complementation	yes	e2df261758f507fa1c944a28f25d17c9a332a4ed30cace44e123f39f5a3aa36a
G2X4U8	G2X4U8	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Verticillium dahliae; Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	hemibiotroph	145	6	0.041379	2016	hypersensitive response assay	Gene mutation; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	c20294b1fd36c6d904c8675cef83ec9b172530d9fd15e700894a95bfa3f393e5
G2X9W2	G2X9W2	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Verticillium dahliae; Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	hemibiotroph	216	4	0.018519	2017	hypersensitive response assay	Gene deletion: full; gene complementation; PEACE source memberships: EffHunter_positive;EffectorP_2.0;EffectorP_3.0_positives;FunEffector-Pred;Predector_positive_sequences;WideEffHunter;fungtion_positive_sequences	yes	7e118c0c5f2a16c7e0b9f04d08b4a6d02b191917ce844438a799d65e7f40e7a1
G2XA95	G2XA95	PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Verticillium dahliae; Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	hemibiotroph	513	24	0.046784	2016	hypersensitive response assay	Gene mutation; PEACE source memberships: FunEffector-Pred;WideEffHunter;fungtion_positive_sequences	yes	08a42a5b479f6d240231d073b7861ce6a9db1f051aec00bae738f4a369cc3905
G2XDH0	G2XDH0	PEACE curated positives; Predector confirmed set	3d2a591fadbe7c398c1ac398371b3b2610a60d46; 90b8fc902f0b444e7f21adf75dae41a05931cc5f	Verticillium dahliae; Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137) (Verticillium wilt)	hemibiotroph	336	8	0.023810	2018	validated host-target interaction	PEACE source memberships: EffectorP_3.0_positives;fungtion_positive_sequences; Predector literature record	no	07106b91b6257ea2d0bee373e9e4e21c10d8f3899a06f4bafb9904dbae75fe48
G2XWG3		PHI-base	v4.19	Botrytis cinerea	necrotroph	852	7	0.008216	2017	knockout virulence phenotype	Gene mutation	unknown	1b959bc1cdfc099621bd8d8e3821d2cc1853bde3cfdd4e897e2aa099c2304b6e
G3C9L0		PEACE curated positives; PHI-base	90b8fc902f0b444e7f21adf75dae41a05931cc5f; v4.19	Hyaloperonospora arabidopsidis	unknown	182	1	0.005495	2012	hypersensitive response assay	Functional test in host: transient expression; PEACE source memberships: WideEffHunter	yes	b599fecaef415c9d02f238f11ad6a8ddf74219286e6bf7a558ee6613707b451a
